"","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000011260",4.77531094286306,0.0462620434876397,0.0652491081292993,0.948966077588275,0.985559097857547
"ENSG00000262902",2.21900908362718,1.45303689964474,1.29178754835816,0.218873000620266,0.65193310909428
"ENSG00000141198",3.86600033084785,-0.567160082501414,-0.585299470899544,0.568344379716451,0.860222934045408
"ENSG00000166260",5.08629233858458,0.000378156338909363,0.00052526446233029,0.999588855915568,0.999680231923196
"ENSG00000166263",2.89962558974495,-0.664008839416564,-0.646578134510505,0.529129609628828,0.850167864862242
"ENSG00000108924",2.97791506105986,2.98597162923823,2.53912064808505,0.0246594786408868,0.261590556394381
"ENSG00000108960",6.29335082828972,3.83248535315534,4.90798593317816,0.000284052073938468,0.0303522993878524
"ENSG00000166292",3.09674956344653,3.21118364222213,3.27923278162745,0.00596527943154349,0.128625564504985
"ENSG00000141179",4.51376953137041,0.631035357630751,0.837113165709996,0.417617735852033,0.789752977404647
"ENSG00000153933",2.12541020493181,2.02174130756526,1.77924388101151,0.0985212734199891,0.491505570748884
"ENSG00000121060",5.93975436897554,0.42817987392101,0.652001832168495,0.525734119341801,0.847984512967513
"ENSG00000121058",3.81346354689809,-0.654663186998767,-0.732791453477744,0.476661504344289,0.825488724016578
"ENSG00000121064",6.20148202379857,1.20449437923914,1.9142409608269,0.0778059482122703,0.440640900211743
"ENSG00000121057",6.18286119121541,2.17005412014817,3.242225615049,0.00640613275313039,0.134403507949941
"ENSG00000153944",5.48176882415653,-1.14981555288391,-1.71634016677925,0.109760918405061,0.513944195468194
"ENSG00000181610",5.74522954735761,-1.66472759240477,-2.37353311993229,0.0336716596602111,0.305266924635213
"ENSG00000180891",5.15147798716603,0.0344388391504182,0.0484305665492857,0.962107536964469,0.987677534499104
"ENSG00000136451",5.05857376535903,-0.209759203947215,-0.306133501452364,0.764339280746119,0.936066127637926
"ENSG00000264112",3.71332906450216,0.0527295616489503,0.0483292266575187,0.962186759597255,0.987677534499104
"ENSG00000136450",5.40518601419745,0.46253266451042,0.73126311134064,0.47756318577969,0.825488724016578
"ENSG00000264364",6.2594797392614,0.632031018007302,1.03267585522016,0.320542042415484,0.736251444842621
"ENSG00000279207",3.06264476388988,0.393153721454804,0.380130089175005,0.709972703958689,0.915046796187052
"ENSG00000011143",3.43548878726523,-0.0888140111415936,-0.0971838685824273,0.924059264920476,0.98278085325698
"ENSG00000213246",2.07379748556495,-1.67642494888912,-1.36090840595614,0.196615670120486,0.630889464222856
"ENSG00000108389",5.29079906554875,-0.130304631940983,-0.195180786519074,0.848261864745834,0.961553162848166
"ENSG00000108387",3.32981601930967,4.42238724809142,4.61802278590584,0.000478753554053606,0.0397996623430783
"ENSG00000108384",3.63100215818892,0.511657984587359,0.535792338893589,0.601128251212671,0.877076198328646
"ENSG00000108395",3.94872489294583,-1.38075231026174,-1.54209002321169,0.146980181685327,0.570953689634132
"ENSG00000182628",4.52390148301606,0.0789318060206625,0.109861025311832,0.914193514681796,0.979711578839652
"ENSG00000167447",3.75235886498148,-0.733685835895305,-0.859275009789661,0.405719348168291,0.78431515793018
"ENSG00000175155",4.55386661110116,2.20141452622044,2.48300577357317,0.0274163956994831,0.275071641183735
"ENSG00000108406",5.24129555546905,-0.193007354535876,-0.282888349668673,0.781706338443299,0.939650478428123
"ENSG00000141367",8.11999259154272,-0.518881433506976,-0.812906061382147,0.43087433088052,0.797900573487414
"ENSG00000141378",4.49363367454277,-0.668623659106138,-0.909381359242054,0.379661882042468,0.770916493307607
"ENSG00000062716",7.13621572875328,-1.45171287623092,-2.4181420968303,0.0309732064509906,0.292688606991901
"ENSG00000108423",2.24676691172437,0.68045353673207,0.613886627794164,0.549857702789601,0.851625495574281
"ENSG00000108443",4.7820656180214,0.24328761843493,0.344090757872688,0.736267309157847,0.924355762485713
"ENSG00000189050",3.59850796141016,1.77091690088684,1.85787918176574,0.0859219175247719,0.459450732632463
"ENSG00000068097",2.77563621607935,2.0641716191457,1.94171186794329,0.0741083781040929,0.431344694085617
"ENSG00000170832",4.4267567039395,-0.173356827941552,-0.222276238125459,0.82754474700405,0.952080093348461
"ENSG00000062725",5.48663157332754,0.422953462921498,0.634967888969802,0.536439938205789,0.850752336391694
"ENSG00000170836",3.38112544438401,1.03201284248942,1.03949908366175,0.317477128066761,0.734157146031411
"ENSG00000141376",3.93660026352303,1.31972674062892,1.4808416311394,0.162419570901024,0.589083108617524
"ENSG00000121068",2.96303451670284,3.68855884937589,3.805250713623,0.00217673468859614,0.0779757509364726
"ENSG00000108506",3.08386698828651,-0.757107372258376,-0.783486689725975,0.447348639257444,0.812309758605165
"ENSG00000108510",5.74934007867176,-0.505570582064671,-0.82727331997652,0.422973669261198,0.793355961314519
"ENSG00000087995",4.03051607875921,0.0168771453165952,0.0205150902996815,0.983943285642695,0.994757875351716
"ENSG00000146872",4.49747066562613,-0.788650606647377,-1.05096377552647,0.312375804584403,0.732431040681584
"ENSG00000011028",6.73521330385099,-1.76727182982493,-2.21492270125332,0.0451936840297802,0.346207988811466
"ENSG00000170921",3.62561886780151,-0.0500756377955076,-0.0544292444996625,0.957418836167534,0.987677534499104
"ENSG00000008283",5.73197967006193,-0.97008515627537,-1.51700510867388,0.15314552598281,0.57674962048605
"ENSG00000159640",2.5216508301121,0.5178968602415,0.462746171416959,0.65117898711477,0.895783813088193
"ENSG00000136485",5.48394345444067,-0.146177331885323,-0.232879105735821,0.819473291181407,0.949470788311489
"ENSG00000136463",4.28386083620951,-0.366628929436859,-0.451369278560622,0.659143910617901,0.897797629416311
"ENSG00000198909",4.94040594294078,0.914117885084371,1.32413715639929,0.20821519402253,0.647233110904259
"ENSG00000266173",2.12541020493181,0.442812216987506,0.403624641086293,0.693034062940321,0.907691181817935
"ENSG00000136490",5.19107258518753,-0.797460021700994,-1.02916901189189,0.322125665249632,0.737507703510448
"ENSG00000108588",5.70294307680423,0.268032787862718,0.345065337430487,0.735551499319167,0.924355762485713
"ENSG00000198231",6.79493564008411,0.603530957975491,1.02389383987676,0.324518571741495,0.739566678655502
"ENSG00000108592",4.74883515751003,-0.606728174056977,-0.705051138764715,0.493189184575443,0.830529523917321
"ENSG00000087191",6.74000284609076,0.110996021662556,0.183492425871485,0.85723608792034,0.963703323886894
"ENSG00000108604",6.1952474566323,-0.0835519300589382,-0.138698558259638,0.891808927654676,0.976127172581973
"ENSG00000224383",1.72916957975152,1.22605759143521,1.08846865645096,0.296110416443682,0.716456129440371
"ENSG00000108622",4.05268434999969,3.84289914047927,3.49718487919401,0.00392236113841801,0.101158357255768
"ENSG00000178607",5.00687105541892,-2.15297795554868,-2.65577997167776,0.0197603752574836,0.236179934482848
"ENSG00000266402",1.72916957975152,0.505666114598126,0.40792732133947,0.689950179176871,0.907691181817935
"ENSG00000136478",4.60836543560801,1.17357367391658,1.52046687375973,0.152281817056379,0.57674962048605
"ENSG00000261371",6.99134700398393,4.66651806797074,5.86088787357971,5.53127944553781e-05,0.0162626440919958
"ENSG00000271605",2.12541020493181,-1.82315868995613,-1.62096204282235,0.128961354590539,0.546333956014612
"ENSG00000256525",2.34036579041974,-1.05579153407121,-0.884915142270159,0.392238860616141,0.775790260310552
